ga_algorithm
liczba wierzcholkow,czas [ms],dlugosc trasy
100,1483.05,2003
200,2238.83,1842
300,3155.94,1529
400,3984.55,1437
500,4723.02,1402
600,5350.68,1368
700,6306.01,1344
800,7263.3,1245
900,7770.15,1148
1000,9113,1115
1100,9740.15,1452
1200,10364.2,1145
1300,10962.7,1144
1400,12044.3,1094
1500,12831.5,1143
1600,13635.2,1151
1700,14433.7,1163
1800,15297.1,1070
1900,16281.2,1066
2000,17907.5,1039
2100,18109.7,1007
2200,18748.4,967
2300,19750.6,1068
2400,20344.8,1132
2500,21683.9,1070
2600,25342.1,1061
2700,26756.2,1148
2800,26748.5,1015
2900,28193.2,1032
3000,30428.3,965
3100,30675.3,1030
3200,30179.1,1039
3300,28722.7,931
3400,29961.1,1061
3500,30250.1,1088
3600,31628.8,874
3700,32415.1,1047
3800,33473.6,1048
3900,35443.9,1011
4000,45627.2,908
4100,43112.3,916
4200,42498.3,1006
4300,45177.7,873
4400,49340.6,1037
4500,43015.3,963
4600,48966.3,1046
4700,52021.2,948
4800,50625.1,944
4900,49333.5,945
5000,49295,923
5100,50813.7,978
5200,51018.2,897
5300,54553.7,999
5400,53941.5,1054
5500,55777,909
5600,56000.2,1034
5700,56186.8,939
5800,57382,1089
5900,58499.8,897
6000,57699.5,940
6100,59782.4,1026
6200,61147.3,835
6300,65927.4,808
6400,64674.4,939
6500,64622,885
6600,68991.9,979
6700,67160.9,922
6800,68068.4,877
6900,69179.7,842
7000,68029.3,987
7100,65971.1,878
7200,66165.1,907
7300,76122.9,791
7400,72119.3,997
7500,72613,986
7600,74354.4,857
7700,75932.2,978
7800,82890.4,811
7900,82142.9,990
8000,79551.3,790
8100,88945.4,849
8200,91012.7,872
8300,83155.1,904
8400,81176.7,859
8500,83236.2,891
8600,88598.4,804
8700,85282.2,931
8800,87348.2,900
8900,86964.8,766
9000,87079.2,848
9100,88278.9,844
9200,92324.5,912
9300,91032.9,793
9400,82484.8,883
9500,81554.5,880
9600,82746.4,844
9700,93715.5,845
9800,96517.8,888
9900,95543.4,815
